,fecha,producto,categoria,cantidad,precio_unitario,total,metodo_pago,es_outlier,cantidad_log
1,2023-05-25,Leche entera,Lácteos,4,1.2,4.8,Efectivo,False,1.6094379124341003
2,2023-08-19,Bolsas plásticas,Descartables,6,0.1,0.6,Tarjeta débito,False,1.9459101490553132
4,2024-12-10,Carne molida,Carnes,1,5.8,5.8,Tarjeta débito,False,0.6931471805599453
6,2023-01-11,Refresco 2L,Bebidas,3,1.1,3.3,Efectivo,False,1.3862943611198906
7,2024-07-03,Pasta de Tomate,Enlatados,2,0.75,1.5,Efectivo,False,1.0986122886681098
8,2024-11-27,Pasta de Tomate,Enlatados,3,0.75,2.25,Tarjeta débito,False,1.3862943611198906
9,2023-06-23,Bolsas plásticas,Descartables,2,0.1,0.2,Tarjeta débito,False,1.0986122886681098
10,2023-02-09,Bolsas plásticas,Descartables,6,0.1,0.6,Efectivo,False,1.9459101490553132
11,2024-06-07,Pasta de Tomate,Enlatados,1,0.75,0.75,Efectivo,False,0.6931471805599453
12,2023-12-28,Jamón de pavo,Embutidos,1,3.2,3.2,Tarjeta débito,False,0.6931471805599453
13,2023-08-19,Pollo entero,Carnes,2,4.5,9.0,Efectivo,False,1.0986122886681098
14,2024-05-15,Yogurt natural,Lácteos,1,0.9,0.9,Efectivo,False,0.6931471805599453
15,2023-08-18,Yogurt natural,Lácteos,2,0.9,1.8,Transferencia,False,1.0986122886681098
16,2023-06-29,Carne molida,Carnes,1,5.8,5.8,Tarjeta débito,False,0.6931471805599453
17,2024-04-27,Leche entera,Lácteos,1,1.2,1.2,Tarjeta débito,False,0.6931471805599453
18,2023-07-14,Bolsas plásticas,Descartables,11,0.1,1.1,Efectivo,False,2.4849066497880004
19,2023-11-17,Leche entera,Lácteos,3,1.2,3.6,Tarjeta crédito,False,1.3862943611198906
20,2023-10-14,Pasta de Tomate,Enlatados,5,0.75,3.75,QR,False,1.791759469228055
21,2024-04-22,Refresco 2L,Bebidas,6,1.1,6.6,Transferencia,False,1.9459101490553132
22,2024-08-24,Pollo entero,Carnes,1,4.5,4.5,Efectivo,False,0.6931471805599453
25,2023-07-03,Yogurt natural,Lácteos,2,0.9,1.8,Tarjeta crédito,False,1.0986122886681098
27,2023-07-13,Leche entera,Lácteos,4,1.2,4.8,QR,False,1.6094379124341003
28,2023-05-19,Carne molida,Carnes,2,5.8,11.6,Tarjeta débito,False,1.0986122886681098
